"","X","date","stat","stat2","before","loc","trt","trt2","days","area","totm2d","total","chir","cera","doli","ephe","tric","simu","coleo","odo","hem","chiro_mg_dm","doli_mg_dm","tric_mg_dm","odo_mg_dm","ephem_mg_dm","tot_mg_dm","tot_mg_dm_m2_d","stat_loc","insectivore_in_cage","id","date2","day"
"11",11,"06/06/17",4,4,"post","Above","Ambient","ctrl",4,0.36,22,32,32,0,0,0,0,0,0,0,0,30.4545219861102,0,0,0,0,30.4545219861102,21.1489736014654,"4_Above","no","4 Above",2017-06-06,2017-06-06
"12",12,"06/06/17",10,10,"post","Above","Ambient","ctrl",4,0.36,33,48,48,0,0,0,0,0,0,0,0,48.0178731363067,0,0,0,0,48.0178731363067,33.3457452335463,"10_Above","no","10 Above",2017-06-06,2017-06-06
"13",13,"06/06/17",7,7,"post","Above","Ambient","ctrl",4,0.36,78,113,112,0,0,0,0,0,0,0,1,112.034443279479,0,0,0,0,112.034443279479,77.8016967218604,"7_Above","no","7 Above",2017-06-06,2017-06-06
"14",14,"06/06/17",10,20,"post","Below","Ambient","ctrl",4,0.36,6,9,9,0,0,0,0,0,0,0,0,8.83178234902317,0,0,0,0,8.83178234902317,6.13318218682164,"10_Below","no","10 Below",2017-06-06,2017-06-06
"15",15,"06/06/17",6,16,"post","Below","Ambient","ctrl",4,0.36,9,13,13,0,0,0,0,0,0,0,0,13.5878529787953,0,0,0,0,13.5878529787953,9.43600901305232,"6_Below","no","6 Below",2017-06-06,2017-06-06
"16",16,"06/06/17",4,14,"post","Below","Ambient","ctrl",4,0.36,15,22,22,0,0,0,0,0,0,0,0,22.2503248464531,0,0,0,0,22.2503248464531,15.4516144767035,"4_Below","no","4 Below",2017-06-06,2017-06-06
"17",17,"06/06/17",1,11,"post","Below","Ambient","ctrl",4,0.36,21,30,30,0,0,0,0,0,0,0,0,29.8203021499012,0,0,0,0,29.8203021499012,20.7085431596536,"1_Below","no","1 Below",2017-06-06,2017-06-06
"18",18,"06/06/17",8,18,"post","Below","Ambient","ctrl",4,0.36,34,49,49,0,0,0,0,0,0,0,0,50.2631826080966,0,0,0,0,50.2631826080966,34.9049879222893,"8_Below","no","8 Below",2017-06-06,2017-06-06
"19",19,"06/06/17",8,8,"post","Above","Cage Control","ctrl",4,0.36,8,11,11,0,0,0,0,0,0,0,0,10.6834129651685,0,0,0,0,10.6834129651685,7.41903678136699,"8_Above","no","8 Above",2017-06-06,2017-06-06
"20",20,"06/06/17",2,2,"post","Above","Cage Control","ctrl",4,0.36,20,29,28,0,0,0,0,0,0,1,0,26.52227382114,0,0,6.29752938944572,0,32.8198032105857,22.7915300073512,"2_Above","no","2 Above",2017-06-06,2017-06-06
"21",21,"06/06/17",9,19,"post","Below","Cage Control","ctrl",4,0.36,13,18,18,0,0,0,0,0,0,0,0,17.2804648954546,0,0,0,0,17.2804648954546,12.0003228440657,"9_Below","yes","9 Below",2017-06-06,2017-06-06
"22",22,"06/06/17",5,5,"post","Above","Exclusion","exc",4,0.36,16,23,23,0,0,0,0,0,0,0,0,22.4837834055162,0,0,0,0,22.4837834055162,15.6137384760529,"5_Above","yes","5 Above",2017-06-06,2017-06-06
"23",23,"06/06/17",1,1,"post","Above","Exclusion","exc",4,0.36,26,37,37,0,0,0,0,0,0,0,0,36.8023764353976,0,0,0,0,36.8023764353976,25.557205857915,"1_Above","no","1 Above",2017-06-06,2017-06-06
"24",24,"06/06/17",6,6,"post","Above","Exclusion","exc",4,0.36,51,74,74,0,0,0,0,0,0,0,0,71.6287645248949,0,0,0,0,71.6287645248949,49.7421975867326,"6_Above","yes","6 Above",2017-06-06,2017-06-06
"25",25,"06/06/17",3,3,"post","Above","Exclusion","exc",4,0.36,56,80,80,0,0,0,0,0,0,0,0,76.8880892905527,0,0,0,0,76.8880892905527,53.3945064517727,"3_Above","no","3 Above",2017-06-06,2017-06-06
"26",26,"06/06/17",9,9,"post","Above","Exclusion","exc",4,0.36,84,121,121,0,0,0,0,0,0,0,0,118.134451320093,0,0,0,0,118.134451320093,82.037813416731,"9_Above","yes","9 Above",2017-06-06,2017-06-06
"27",27,"06/06/17",2,12,"post","Below","Exclusion","exc",4,0.36,15,21,21,0,0,0,0,0,0,0,0,20.1555502475509,0,0,0,0,20.1555502475509,13.9969098941326,"2_Below","yes","2 Below",2017-06-06,2017-06-06
"28",28,"06/06/17",5,15,"post","Below","Exclusion","exc",4,0.36,19,27,27,0,0,0,0,0,0,0,0,25.2000058779043,0,0,0,0,25.2000058779043,17.500004081878,"5_Below","no","5 Below",2017-06-06,2017-06-06
"29",29,"06/06/17",7,17,"post","Below","Exclusion","exc",4,0.36,19,28,27,0,0,0,0,0,1,0,0,27.3544439175381,0,0,0,0,27.3544439175381,18.9961416094015,"7_Below","yes","7 Below",2017-06-06,2017-06-06
"30",30,"06/06/17",3,13,"post","Below","Exclusion","exc",4,0.36,64,92,92,0,0,0,0,0,0,0,0,88.8901086623415,0,0,0,0,88.8901086623415,61.729242126626,"3_Below","no","3 Below",2017-06-06,2017-06-06
"31",31,"06/12/17",4,4,"post","Above","Ambient","ctrl",4,0.36,36,52,52,0,0,0,0,0,0,0,0,50.7714366925272,0,0,0,0,50.7714366925272,35.2579421475883,"4_Above","no","4 Above",2017-06-12,2017-06-12
"32",32,"06/12/17",10,10,"post","Above","Ambient","ctrl",4,0.36,58,83,82,1,0,0,0,0,0,0,0,80.233040116689,0,0,0,0,80.233040116689,55.7173889699229,"10_Above","no","10 Above",2017-06-12,2017-06-12
"33",33,"06/12/17",7,7,"post","Above","Ambient","ctrl",4,0.36,351,506,506,0,0,0,0,0,0,0,0,492.390916359369,0,0,0,0,492.390916359369,341.938136360673,"7_Above","no","7 Above",2017-06-12,2017-06-12
"34",34,"06/12/17",8,18,"post","Below","Ambient","ctrl",4,0.36,40,57,57,0,0,0,0,0,0,0,0,56.8452062583409,0,0,0,0,56.8452062583409,39.4758376794034,"8_Below","no","8 Below",2017-06-12,2017-06-12
"35",35,"06/12/17",1,11,"post","Below","Ambient","ctrl",4,0.36,49,70,70,0,0,0,0,0,0,0,0,69.1661319581413,0,0,0,0,69.1661319581413,48.0320360820426,"1_Below","no","1 Below",2017-06-12,2017-06-12
"36",36,"06/12/17",6,16,"post","Below","Ambient","ctrl",4,0.36,50,72,71,1,0,0,0,0,0,0,0,66.6706479344103,0,0,0,0,66.6706479344103,46.2990610655627,"6_Below","no","6 Below",2017-06-12,2017-06-12
"37",37,"06/12/17",4,14,"post","Below","Ambient","ctrl",4,0.36,179,258,257,1,0,0,0,0,0,0,0,258.985069760076,0,0,0,0,258.985069760076,179.850742888942,"4_Below","no","4 Below",2017-06-12,2017-06-12
"38",38,"06/12/17",8,8,"post","Above","Cage Control","ctrl",4,0.36,28,41,41,0,0,0,0,0,0,0,0,40.559915429398,0,0,0,0,40.559915429398,28.166607937082,"8_Above","no","8 Above",2017-06-12,2017-06-12
"39",39,"06/12/17",2,2,"post","Above","Cage Control","ctrl",4,0.36,34,49,49,0,0,0,0,0,0,0,0,47.6542403095715,0,0,0,0,47.6542403095715,33.0932224372024,"2_Above","no","2 Above",2017-06-12,2017-06-12
"40",40,"06/12/17",9,19,"post","Below","Cage Control","ctrl",4,0.36,22,31,31,0,0,0,0,0,0,0,0,31.9215020672563,0,0,0,0,31.9215020672563,22.167709768928,"9_Below","yes","9 Below",2017-06-12,2017-06-12
"41",41,"06/12/17",6,6,"post","Above","Exclusion","exc",4,0.36,119,171,168,3,0,0,0,0,0,0,0,158.53540396419,0,0,0,0,158.53540396419,110.094030530688,"6_Above","yes","6 Above",2017-06-12,2017-06-12
"42",42,"06/12/17",9,9,"post","Above","Exclusion","exc",4,0.36,226,325,325,0,0,0,0,0,0,0,0,332.234361231263,0,0,0,0,332.234361231263,230.718306410599,"9_Above","yes","9 Above",2017-06-12,2017-06-12
"43",43,"06/12/17",1,1,"post","Above","Exclusion","exc",4,0.36,256,368,368,0,0,0,0,0,0,0,0,368.759009191708,0,0,0,0,368.759009191708,256.082645272019,"1_Above","no","1 Above",2017-06-12,2017-06-12
"44",44,"06/12/17",5,5,"post","Above","Exclusion","exc",4,0.36,407,586,585,0,0,0,0,0,0,0,1,590.1547474777,0,0,0,0,590.1547474777,409.829685748403,"5_Above","yes","5 Above",2017-06-12,2017-06-12
"45",45,"06/12/17",3,3,"post","Above","Exclusion","exc",4,0.36,435,627,627,0,0,0,0,0,0,0,0,604.247384957736,0,0,0,0,604.247384957736,419.616239553983,"3_Above","no","3 Above",2017-06-12,2017-06-12
"46",46,"06/12/17",3,13,"post","Below","Exclusion","exc",4,0.36,52,75,75,0,0,0,0,0,0,0,0,76.7928466904752,0,0,0,0,76.7928466904752,53.3283657572744,"3_Below","no","3 Below",2017-06-12,2017-06-12
"47",47,"06/12/17",7,17,"post","Below","Exclusion","exc",4,0.36,128,185,185,0,0,0,0,0,0,0,0,177.780783080191,0,0,0,0,177.780783080191,123.458877139021,"7_Below","yes","7 Below",2017-06-12,2017-06-12
"48",48,"06/12/17",2,12,"post","Below","Exclusion","exc",4,0.36,175,252,251,1,0,0,0,0,0,0,0,244.386446774867,0,0,0,0,244.386446774867,169.712810260325,"2_Below","yes","2 Below",2017-06-12,2017-06-12
"49",49,"06/12/17",5,15,"post","Below","Exclusion","exc",4,0.36,261,376,375,0,0,0,0,0,1,0,0,379.449933545609,0,0,0,0,379.449933545609,263.506898295562,"5_Below","no","5 Below",2017-06-12,2017-06-12
"50",50,"06/16/17",4,4,"post","Above","Ambient","ctrl",3,0.36,38,41,41,0,0,0,0,0,0,0,0,40.2643764676052,0,0,0,0,40.2643764676052,37.2818300625974,"4_Above","no","4 Above",2017-06-16,2017-06-16
"51",51,"06/16/17",10,10,"post","Above","Ambient","ctrl",3,0.36,56,60,59,0,1,0,0,0,0,0,0,59.1132751643563,0.623875610963833,0,0,0,59.7371507753201,55.3121766438149,"10_Above","no","10 Above",2017-06-16,2017-06-16
"52",52,"06/16/17",7,7,"post","Above","Ambient","ctrl",3,0.36,95,103,101,1,0,0,0,1,0,0,0,105.439403976552,0,0,0,0,105.439403976552,97.6290777560666,"7_Above","no","7 Above",2017-06-16,2017-06-16
"53",53,"06/16/17",10,20,"post","Below","Ambient","ctrl",3,0.36,5,5,5,0,0,0,0,0,0,0,0,4.90328627150129,0,0,0,0,4.90328627150129,4.54007988101972,"10_Below","no","10 Below",2017-06-16,2017-06-16
"54",54,"06/16/17",1,11,"post","Below","Ambient","ctrl",3,0.36,19,20,20,0,0,0,0,0,0,0,0,20.413595812205,0,0,0,0,20.413595812205,18.9014776038935,"1_Below","no","1 Below",2017-06-16,2017-06-16
"55",55,"06/16/17",6,16,"post","Below","Ambient","ctrl",3,0.36,39,42,39,0,0,0,0,0,3,0,0,39.5815042091625,0,0,0,0,39.5815042091625,36.6495409344097,"6_Below","no","6 Below",2017-06-16,2017-06-16
"56",56,"06/16/17",8,18,"post","Below","Ambient","ctrl",3,0.36,42,45,44,0,0,0,0,0,1,0,0,41.2935756886495,0,0,0,0,41.2935756886495,38.2347923043051,"8_Below","no","8 Below",2017-06-16,2017-06-16
"57",57,"06/16/17",4,14,"post","Below","Ambient","ctrl",3,0.36,896,968,968,0,0,0,0,0,0,0,0,946.714533020847,0,0,0,0,946.714533020847,876.587530574858,"4_Below","no","4 Below",2017-06-16,2017-06-16
"58",58,"06/16/17",2,2,"post","Above","Cage Control","ctrl",3,0.36,52,56,56,0,0,0,0,0,0,0,0,55.057313063309,0,0,0,0,55.057313063309,50.9789935771379,"2_Above","no","2 Above",2017-06-16,2017-06-16
"59",59,"06/16/17",8,8,"post","Above","Cage Control","ctrl",3,0.36,65,70,66,0,0,0,0,0,4,0,0,62.7151539670798,0,0,0,0,62.7151539670798,58.0695870065554,"8_Above","no","8 Above",2017-06-16,2017-06-16
"60",60,"06/16/17",9,19,"post","Below","Cage Control","ctrl",3,0.36,36,39,38,0,0,0,0,0,1,0,0,37.7426919935469,0,0,0,0,37.7426919935469,34.946937031062,"9_Below","yes","9 Below",2017-06-16,2017-06-16
"61",61,"06/16/17",1,1,"post","Above","Exclusion","exc",3,0.36,581,628,628,0,0,0,0,0,0,0,0,614.309287755158,0,0,0,0,614.309287755158,568.804896069591,"1_Above","no","1 Above",2017-06-16,2017-06-16
"62",62,"06/16/17",9,9,"post","Above","Exclusion","exc",3,0.36,1203,1299,1299,0,0,0,0,0,0,0,0,1321.61041500043,0,0,0,0,1321.61041500043,1223.71334722262,"9_Above","yes","9 Above",2017-06-16,2017-06-16
"63",63,"06/16/17",6,6,"post","Above","Exclusion","exc",3,0.36,1735,1874,1874,0,0,0,0,0,0,0,0,1896.37761717838,0,0,0,0,1896.37761717838,1755.90520109109,"6_Above","yes","6 Above",2017-06-16,2017-06-16
"64",64,"06/16/17",5,5,"post","Above","Exclusion","exc",3,0.36,1872,2022,2022,0,0,0,0,0,0,0,0,1969.80793149438,0,0,0,0,1969.80793149438,1823.89623286516,"5_Above","yes","5 Above",2017-06-16,2017-06-16
"65",65,"06/16/17",3,3,"post","Above","Exclusion","exc",3,0.36,1981,2140,2140,0,0,0,0,0,0,0,0,2089.60696706991,0,0,0,0,2089.60696706991,1934.82126580547,"3_Above","no","3 Above",2017-06-16,2017-06-16
"66",66,"06/16/17",3,13,"post","Below","Exclusion","exc",3,0.36,34,37,35,0,0,0,0,0,2,0,0,35.5606212108593,0,0,0,0,35.5606212108593,32.926501121166,"3_Below","no","3 Below",2017-06-16,2017-06-16
"67",67,"06/16/17",7,17,"post","Below","Exclusion","exc",3,0.36,335,362,362,0,0,0,0,0,0,0,0,360.097813443374,0,0,0,0,360.097813443374,333.423901336457,"7_Below","yes","7 Below",2017-06-16,2017-06-16
"68",68,"06/16/17",5,15,"post","Below","Exclusion","exc",3,0.36,577,623,623,0,0,0,0,0,0,0,0,626.983855803531,0,0,0,0,626.983855803531,580.540607225491,"5_Below","no","5 Below",2017-06-16,2017-06-16
"69",69,"06/16/17",2,12,"post","Below","Exclusion","exc",3,0.36,621,671,671,0,0,0,0,0,0,0,0,667.469733046058,0,0,0,0,667.469733046058,618.027530598201,"2_Below","yes","2 Below",2017-06-16,2017-06-16
"70",70,"06/23/17",10,10,"post","Above","Ambient","ctrl",4,0.36,13,19,19,0,0,0,0,0,0,0,0,18.741157055029,0,0,0,0,18.741157055029,13.0146923993257,"10_Above","no","10 Above",2017-06-23,2017-06-23
"71",71,"06/23/17",4,4,"post","Above","Ambient","ctrl",4,0.36,88,126,119,0,0,0,0,1,6,0,0,115.252734279422,0,0,0,0,115.252734279422,80.0366210273767,"4_Above","no","4 Above",2017-06-23,2017-06-23
"72",72,"06/23/17",7,7,"post","Above","Ambient","ctrl",4,0.36,112,161,159,0,0,0,1,1,0,0,0,162.291301730795,0,1.21781191294723,0,0,163.509113643743,113.547995585932,"7_Above","no","7 Above",2017-06-23,2017-06-23
"73",73,"06/23/17",10,20,"post","Below","Ambient","ctrl",4,0.36,8,12,12,0,0,0,0,0,0,0,0,11.5272575749093,0,0,0,0,11.5272575749093,8.00503998257588,"10_Below","no","10 Below",2017-06-23,2017-06-23
"74",74,"06/23/17",1,11,"post","Below","Ambient","ctrl",4,0.36,26,37,37,0,0,0,0,0,0,0,0,36.2140953094856,0,0,0,0,36.2140953094856,25.1486772982539,"1_Below","no","1 Below",2017-06-23,2017-06-23
"75",75,"06/23/17",8,18,"post","Below","Ambient","ctrl",4,0.36,27,39,39,0,0,0,0,0,0,0,0,37.5266670684235,0,0,0,0,37.5266670684235,26.060185464183,"8_Below","no","8 Below",2017-06-23,2017-06-23
"76",76,"06/23/17",4,14,"post","Below","Ambient","ctrl",4,0.36,31,45,45,0,0,0,0,0,0,0,0,45.2914660385922,0,0,0,0,45.2914660385922,31.4524069712446,"4_Below","no","4 Below",2017-06-23,2017-06-23
"77",77,"06/23/17",6,16,"post","Below","Ambient","ctrl",4,0.36,882,1270,1270,0,0,0,0,0,0,0,0,1307.6535989964,0,0,0,0,1307.6535989964,908.092777080835,"6_Below","no","6 Below",2017-06-23,2017-06-23
"78",78,"06/23/17",2,2,"post","Above","Cage Control","ctrl",4,0.36,41,59,58,1,0,0,0,0,0,0,0,55.7790240141426,0,0,0,0,55.7790240141426,38.7354333431546,"2_Above","no","2 Above",2017-06-23,2017-06-23
"79",79,"06/23/17",8,8,"post","Above","Cage Control","ctrl",4,0.36,74,106,103,1,0,0,0,0,2,0,0,106.447435075647,0,0,0,0,106.447435075647,73.9218299136439,"8_Above","no","8 Above",2017-06-23,2017-06-23
"80",80,"06/23/17",9,19,"post","Below","Cage Control","ctrl",4,0.36,86,124,124,0,0,0,0,0,0,0,0,126.027063370381,0,0,0,0,126.027063370381,87.5187940072093,"9_Below","yes","9 Below",2017-06-23,2017-06-23
"81",81,"06/23/17",1,1,"post","Above","Exclusion","exc",4,0.36,880,1267,1267,0,0,0,0,0,0,0,0,1243.24032260147,0,0,0,0,1243.24032260147,863.361335139912,"1_Above","no","1 Above",2017-06-23,2017-06-23
"82",82,"06/23/17",9,9,"post","Above","Exclusion","exc",4,0.36,901,1297,1297,0,0,0,0,0,0,0,0,1280.73644710268,0,0,0,0,1280.73644710268,889.40031048797,"9_Above","yes","9 Above",2017-06-23,2017-06-23
"83",83,"06/23/17",6,6,"post","Above","Exclusion","exc",4,0.36,1122,1615,1615,0,0,0,0,0,0,0,0,1765.1518103263,0,0,0,0,1765.1518103263,1225.79986828216,"6_Above","yes","6 Above",2017-06-23,2017-06-23
"84",84,"06/23/17",5,5,"post","Above","Exclusion","exc",4,0.36,1203,1732,1730,0,2,0,0,0,0,0,0,1693.88370725983,1.30431813020583,0,0,0,1695.18802539004,1177.21390652086,"5_Above","yes","5 Above",2017-06-23,2017-06-23
"85",85,"06/23/17",3,3,"post","Above","Exclusion","exc",4,0.36,1505,2167,2166,0,0,1,0,0,0,0,0,2274.95800587785,0,0,0,0.828639592453112,2275.78664547031,1580.40739268771,"3_Above","no","3 Above",2017-06-23,2017-06-23
"86",86,"06/23/17",3,13,"post","Below","Exclusion","exc",4,0.36,71,102,102,0,0,0,0,0,0,0,0,100.841220768909,0,0,0,0,100.841220768909,70.0286255339647,"3_Below","no","3 Below",2017-06-23,2017-06-23
"87",87,"06/23/17",7,17,"post","Below","Exclusion","exc",4,0.36,432,622,622,0,0,0,0,0,0,0,0,602.985930564796,0,0,0,0,602.985930564796,418.740229558886,"7_Below","yes","7 Below",2017-06-23,2017-06-23
"88",88,"06/23/17",5,15,"post","Below","Exclusion","exc",4,0.36,1119,1612,1610,0,0,0,0,0,2,0,0,1670.29085972386,0,0,0,0,1670.29085972386,1159.92420814157,"5_Below","no","5 Below",2017-06-23,2017-06-23
"89",89,"06/23/17",2,12,"post","Below","Exclusion","exc",4,0.36,1276,1838,1838,0,0,0,0,0,0,0,0,1798.12098463763,0,0,0,0,1798.12098463763,1248.69512822058,"2_Below","yes","2 Below",2017-06-23,2017-06-23
